county,state,Population (2014),Population (2010),% people under 18 (2014),% people over 65 (2014),% female (2014),% white (2014),% black (2014),% asian (2014),% hispanic (2014),% immigrants (2009-2013),"% high school graduate, people over 25 (2009-2013)","% bachelors degree, people over 25 (2009-2013)",# of veterans(2009-2013),"mean travel time to work, mins (2009-2013)",homeownership rate (2009-2013),Per capita money income in past 12 months (2009-2013),median household income (2009-2013),% people below poverty line (2009-2013),land area in square miles (2010),population per square mile (2010),Population  per square mile using 2014 population and 2010 land area
Morgan ,MO,20240,20565,22,23.7,49.7,96.1,1,0.5,1.9,1.2,79.2,12.7,2224,25,80.1,17935,34797,23.4,597.63,34.4,33.86710841
New Madrid ,MO,18272,18956,23.8,17.6,52.1,81.6,15.8,0.5,1.6,0.9,76.9,12.3,1681,16.2,62.2,21215,35793,21.7,674.84,28.1,27.07604766
Newton ,MO,58598,58114,24.4,17.4,50.3,91,1,1.6,5,3.6,85.4,18.1,4532,20.9,74.9,22341,42268,15,624.77,93,93.7913152
Nodaway ,MO,23081,23370,16.9,13.9,49.7,94.3,2.7,1.7,1.5,1.4,91.1,23.4,1277,15.5,55.9,18079,36641,28.4,876.96,26.6,26.31933041
Oregon ,MO,10911,10881,22.3,22.1,50.8,95.4,0.5,0.4,1.4,1.3,79.8,9.8,1120,21.2,76.1,16331,27743,27.7,789.8,13.8,13.81488985
Osage ,MO,13703,13878,23.6,16.7,48.1,98.5,0.3,0.2,0.7,0.4,88.6,15.4,1125,26,82.2,22629,51408,8.7,604.35,23,22.67394722
Ozark ,MO,9492,9723,19.7,26.3,49.5,97,0.3,0.1,1.7,0.4,82.8,12.5,1374,29.7,79.1,17215,32078,20,744.97,13.1,12.74145268
Pemiscot ,MO,17650,18296,26.9,15.3,52.7,71,26.7,0.4,2.2,0.8,72.5,10,1264,15.5,54.9,16881,28889,29.3,492.54,37.1,35.83465302
Perry ,MO,19202,18971,24,16.6,49.9,97.2,0.6,0.6,2.1,1.8,82.8,14.6,1546,21.5,77.8,23435,47876,12,474.35,40,40.48065774
Pettis ,MO,42225,42201,25.1,15.3,50.6,92.9,3.4,0.7,8.3,6.6,81.8,15.2,3559,19.4,69.6,19709,38580,18.4,682.22,61.9,61.89352408
Phelps ,MO,44847,45156,21.1,14.9,47.6,90.9,2.4,3.3,2.5,4,86.8,27.2,4190,19.2,61.3,21173,41964,18.1,671.78,67.2,66.75846259
Pike ,MO,18541,18516,21.9,16.5,44.8,90.4,7.6,0.3,2.2,0.9,78.9,10.3,1843,21.3,74.1,18650,39850,15.1,670.44,27.6,27.65497285
Platte ,MO,94788,89322,23.9,13,50.6,87.4,6.4,2.7,5.7,5.8,94.2,39.2,7457,23.3,64.3,35143,67721,7.4,420.19,212.6,225.5836645
Polk ,MO,31054,31137,23.6,17.1,51.2,95.7,1,0.9,2.1,1.1,83.7,18.3,2450,24.3,68.2,19511,39512,23.6,635.52,49,48.86392246
Pulaski ,MO,53436,52274,22.7,7.6,43.2,77.8,12.8,3,10.7,5.3,90.1,21.4,7259,18.6,53.3,20863,49820,12.8,547.1,95.5,97.67135807
Putnam ,MO,4829,4979,21.3,23.6,49.1,98.1,0.3,0.5,1.4,1.1,84.7,13.7,506,22,74.6,19397,36713,18.8,517.32,9.6,9.3346478
Ralls ,MO,10255,10167,21.8,19.3,49.6,96.8,1.2,0.4,1.2,0.1,89.6,13.3,1042,21.5,81.5,23299,47969,9.9,469.78,21.6,21.82936694
Randolph ,MO,25072,25414,22.1,15.4,47.5,90.9,5.9,0.6,1.9,0.4,84.6,13.6,2006,20.9,71.4,17587,37203,19.4,482.68,52.7,51.94331648
Ray ,MO,22949,23494,23.4,17.1,49.9,95.9,1.4,0.4,2.3,1.2,88.3,13.9,1853,31.2,78.1,24549,52698,11.6,568.81,41.3,40.34563387
Reynolds ,MO,6565,6696,20.8,22.7,48.8,95.8,0.9,0.2,1.5,0.3,77.1,6.7,669,25,77.6,18449,34496,24.4,808.48,8.3,8.120176133
Ripley ,MO,13969,14100,22.7,19.6,50.7,96.4,0.7,0.4,1.2,0.8,75.2,10.7,1317,22,71.9,16408,32291,24.6,629.54,22.4,22.18921752
St. Charles ,MO,379493,360485,24.3,13.2,50.9,90.7,4.7,2.5,3.1,3.7,93.6,35.1,27143,24.9,80.3,31586,71077,5.8,560.44,643.2,677.1340375
St. Clair ,MO,9457,9805,19,26.1,49.3,96.3,0.7,0.2,2.3,0.7,81.3,12.1,1004,22.8,77.6,17337,31539,21.8,669.98,14.6,14.11534673
Ste. Genevieve ,MO,17914,18145,22.2,17.3,49.5,96.2,0.9,0.3,1,1.1,82.1,10.7,1673,27.3,82.2,22921,48433,11.9,499.15,36.4,35.88901132
St. Francois ,MO,65960,65359,21.4,15.3,46.6,93.5,4.5,0.4,1.4,0.8,79.5,14.3,6026,25.5,68.7,18544,37238,19.4,451.89,144.6,145.9647259
St. Louis ,MO,1001876,998954,22.3,16.5,52.6,69.9,23.9,4,2.7,6.7,92.1,40.6,70308,23.4,71,34795,58910,10.9,507.8,1967.2,1972.973612
Saline ,MO,23347,23370,23.1,16.6,50.3,89.5,5.2,0.8,9.8,5.7,82.8,17.2,1839,17.8,67.8,19006,39519,18.6,755.5,30.9,30.90271343
Schuyler ,MO,4370,4431,25.2,19.7,50.9,98.5,0.2,0.2,1.1,1.8,85.9,9.8,299,27.2,71,18160,34688,24,307.3,14.4,14.2206313
Scotland ,MO,4863,4843,28.3,18.9,50.7,98.5,0.1,0.2,0.9,0.4,78.7,17,306,20.7,78.9,20363,39028,18.2,436.67,11.1,11.13655621
Scott ,MO,38903,39191,23.9,16.5,51.4,85.7,11.7,0.5,2.2,0.8,80.3,14.6,3010,19.2,69.2,20825,40651,19.1,419.99,93.3,92.62839591
Shannon ,MO,8329,8441,22.2,19.6,50.1,95.8,0.4,0.3,1.8,0.5,81,11.2,710,20.9,78.1,16862,31132,25.2,1003.82,8.4,8.297304298
Shelby ,MO,6108,6373,23.1,20.6,50.3,97.7,0.7,0.2,1.6,1,89.5,12.7,499,22.4,71,19331,35938,18.4,500.86,12.7,12.19502456
Stoddard ,MO,29867,29968,22.3,19,51.3,97,1.2,0.3,1.7,0.4,79.8,13.3,2906,21.4,71.7,22967,37965,15,823.22,36.4,36.28070261
Stone ,MO,31104,32202,17.6,27.4,51.1,96.8,0.5,0.4,2,1.1,84.9,15.2,3752,28.2,78.6,21733,40850,17.1,464.03,69.4,67.03014891
Sullivan ,MO,6411,6714,22.9,18.4,49.2,96,1.7,0.4,17.6,10,82.1,12,444,17,69.2,19279,36676,17,647.98,10.4,9.893823883
Taney ,MO,54230,51675,21.2,19.7,51.5,94.4,1.4,1,5.5,4.3,84.7,18.6,5347,19.8,63.2,20231,38461,18.8,632.44,81.7,85.74726456
Texas ,MO,25642,26008,21.4,19.5,47.9,93,3.7,0.4,2.2,0.7,82.9,12,2703,27.5,75.3,17868,36082,21.4,1177.27,22.1,21.78089988
Vernon ,MO,21001,21159,24.5,17.7,51.2,95.9,0.8,0.6,2,1.6,84.9,13.2,1561,17.9,69.7,19734,38679,21,826.4,25.6,25.41263311
Warren ,MO,33253,32513,24.4,16.6,50.1,94.6,2.4,0.6,3.2,2.1,84.3,16,2884,30.8,79.4,24692,50830,13.4,428.6,75.9,77.58516099
Washington ,MO,25077,25195,23.1,15.4,48.4,95.4,2.4,0.3,1.3,1.1,71.6,8.4,2288,33.1,76.3,17703,34702,23.4,759.91,33.2,32.99996052
Wayne ,MO,13452,13521,20.8,21.9,50.2,96.8,0.7,0.3,1.4,0.3,77.1,10.3,1314,26.1,75.1,18970,33159,21.9,759.18,17.8,17.719118
Webster ,MO,36888,36202,27.2,14.6,49.1,96.3,1.1,0.3,1.9,0.8,84.7,15,3036,30.7,75.9,19955,44596,18.9,592.56,61.1,62.25192386
Worth ,MO,2073,2171,20.4,24.3,50.1,97.6,0.8,0.3,1.3,0.2,92.9,15.6,221,26.5,76.3,22967,39348,13.2,266.61,8.1,7.775402273
Wright ,MO,18291,18815,25.1,19.1,51.1,96.8,0.7,0.3,1.7,2.2,76.5,11.1,1597,26,72.2,14752,28645,27.5,681.77,27.6,26.82869589
St. Louis city,MO,317419,319294,20.3,11.4,51.7,46.6,47.5,3.2,3.8,6.7,82.9,29.6,19347,23.9,44.6,23048,34582,27.4,61.91,5157.5,5127.10386
Adams ,MS,31737,32297,21.2,16.7,49.5,44.6,53.4,0.5,8,4.4,78.8,17.5,2028,19.8,68,17544,27381,28.4,462.41,69.8,68.63389633
Alcorn ,MS,37380,37057,23.8,17.1,51.1,85.7,12.5,0.4,3.1,1.4,78.5,17.4,2377,20.5,71.1,19145,33600,20.8,400.04,92.6,93.44065593
Amite ,MS,12629,13131,21.1,21,51.4,57.9,40.9,0.1,1,0.4,74.7,11.6,726,35.8,85.3,16977,30750,25.7,730.1,18,17.29763046
Attala ,MS,19163,19564,25.1,19.5,52.8,56.4,42.3,0.3,2,1.2,73.2,16,1408,27.5,73.6,18422,31641,27.7,734.98,26.6,26.07281831
Benton ,MS,8296,8729,22.4,17.9,50,62.2,36.2,0.1,2.5,1.1,73,9.9,412,35.3,81.7,18597,31060,24.1,406.62,21.5,20.40234125
Bolivar ,MS,33768,34145,25.6,13.7,53.2,33.8,64.7,0.7,2.2,1.5,73.8,21.2,1434,17.8,56.4,16462,28599,34.3,876.57,39,38.52287895
Calhoun ,MS,14745,14962,24.2,17.6,51.9,70.5,28,0.1,5.6,3.2,68.2,9.5,805,23.7,70.5,17034,30000,23.7,586.57,25.5,25.13766473
Carroll ,MS,10254,10597,19.8,21,49,64.7,34,0.2,1.3,0.7,78.2,12.3,466,23,83.2,16897,31039,24.4,628.24,16.9,16.32178785
Chickasaw ,MS,17313,17392,25,15.6,51.9,54.2,43.9,0.4,3.9,1.5,72,10,657,25.2,73.2,16677,31061,25.3,501.78,34.7,34.50316872
Choctaw ,MS,8294,8547,22.5,19.2,51.6,68.6,29.5,0.3,1.3,0.1,78.3,12.6,632,28,71.4,17145,29876,24.1,418.18,20.4,19.83356449
Claiborne ,MS,9080,9604,21.9,14.3,52.5,14.3,84.1,0.7,1.2,0.8,80.9,18.6,341,23.3,80,12177,23689,33.1,487.41,19.7,18.62908024
Clarke ,MS,16299,16732,23.1,18.5,52.7,64.4,34.2,0.2,1.1,0.3,77,11.7,1359,30.2,84.1,18066,31362,23.4,691.55,24.2,23.56879474
Clay ,MS,20225,20634,24.2,16.3,53,40.2,58.6,0.2,1.4,0.5,79.1,17.9,1220,22.8,71.3,18273,30764,26.4,410.08,50.3,49.31964495
Coahoma ,MS,24807,26151,27.6,13.3,53.9,23.5,74.9,0.7,1.5,0.5,76.6,17.5,1198,19.5,53.3,15742,26407,38.2,552.44,47.3,44.90442401
Copiah ,MS,28797,29449,23.6,15.4,51.6,47.1,51.4,0.4,2.8,2.3,79.6,13.5,1785,25.3,76.3,18318,35421,26.3,777.24,37.9,37.05033194
Covington ,MS,19442,19568,24.8,17,51.1,62.6,35.9,0.3,2.1,0.3,76.5,14.2,1460,27.3,83,17241,33381,29.9,413.79,47.3,46.98518572
DeSoto ,MS,170913,161252,26.7,11.8,51.5,71.9,24.9,1.4,4.9,3.6,88.6,21.6,11011,25.1,75.1,25176,58505,9.8,476.15,338.7,358.9478106
Forrest ,MS,76330,74934,23.1,12.7,52.2,60,37,1.1,3.2,2.8,83.8,27,5360,20.8,56.5,19736,36726,27.6,466.31,160.7,163.6893912
Franklin ,MS,7833,8118,24.5,17.8,51.2,63.2,35.5,0.1,0.8,0.3,81.1,11.3,589,39.8,79.6,24234,32372,23,563.78,14.4,13.89371741
George ,MS,23303,22578,26.2,14.5,49.5,89.8,8.5,0.3,2.2,1.8,83.8,10.3,1630,35.2,84.2,20217,43958,18.6,478.71,47.2,48.67874078
Greene ,MS,14326,14400,20,12.9,40.5,71.5,27.2,0.1,1,0.8,75.7,7.8,1153,37.6,87.4,14463,36888,18.2,712.76,20.2,20.09933217
Grenada ,MS,21666,21906,23.7,16.6,52.7,56,42.4,0.4,1.2,0.4,78.4,14.7,1095,21.5,73.5,21084,34129,21.9,422.11,51.9,51.32785293
Hancock ,MS,45949,43929,22.1,17.3,50.9,87.8,8.4,1.1,3.6,3.6,85.4,22,4397,29.1,75.3,22621,44522,18.7,473.75,92.7,96.98997361
Harrison ,MS,199058,187105,24.3,13.2,50.4,69.8,24,3,5.4,4.5,85.6,20.7,22647,21.7,61,22677,43124,19.9,573.99,326,346.7969825
Hinds ,MS,243729,245285,25.2,12.1,53.2,27.3,70.8,0.8,1.6,1.9,85.1,27.4,14001,21.3,59.3,20448,37626,25.3,869.74,282,280.2320234
Holmes ,MS,18459,19198,26.8,13.5,52.2,16.6,82.2,0.5,0.9,0.2,71.4,12.7,574,25.7,71,12113,22325,43.5,756.7,25.4,24.39407956
Humphreys ,MS,8741,9375,27.4,14.2,52.9,23.5,75,0.4,2.5,0.8,64.1,10.9,499,19,54.3,12874,23600,44.9,418.49,22.4,20.88699849
Issaquena ,MS,1397,1406,15,13.7,40.6,35,63.9,0.6,0.9,0,56.4,5.3,85,26.9,67.5,13731,24767,32.5,413.05,3.4,3.382157124
Itawamba ,MS,23527,23401,21.9,17.4,50.9,91.9,6.8,0.3,1.4,0.2,76.7,13.5,1526,23.6,79,18106,36073,15.7,532.79,43.9,44.15811108
Jackson ,MS,141137,139668,24.2,14.2,50.9,73.3,22.1,2.3,5.5,3.5,86.3,19.6,14074,24.3,70.8,23879,48943,15.9,722.75,193.2,195.2777586
Jasper ,MS,16601,17062,23.5,18,51.3,46.4,52.4,0.2,1.2,0.6,76.6,12.9,1001,26,79.3,18075,31170,22.1,676.24,25.2,24.54897669
Jefferson ,MS,7599,7726,23.2,13.9,50.2,14.1,85.1,0,0.5,0,79.7,19.9,304,24.6,71.5,12723,26028,40,519.93,14.9,14.615429
Jefferson Davis ,MS,11822,12487,21,19.3,52.4,38.7,59.9,0.2,1.2,0.8,78,14.4,600,32.7,78.8,16216,27186,27,408.44,30.6,28.94427578
Jones ,MS,68290,67761,25.6,15.5,51.4,68.7,29.3,0.5,4.3,3.2,78.7,16.8,4596,21.9,73.5,19519,38074,23,694.8,97.5,98.28727691
Kemper ,MS,10163,10456,20.8,17.2,49.8,35.1,60.4,0.2,0.8,0.8,75.9,10.4,579,27.3,76.1,13795,29003,33.3,766.18,13.6,13.26450703
Lafayette ,MS,52930,47351,18.1,11.3,51.2,72,23.7,2.6,2.3,2.9,86.3,37.2,2287,18.3,59.4,21388,43328,25.6,631.71,75,83.78844723
Lamar ,MS,60099,55658,25.8,11.6,51.8,76.4,20.6,1.3,2.5,2.2,90.3,33.1,3884,24.9,65.8,26345,51154,17.4,497.06,112,120.9089446
Lauderdale ,MS,79739,80261,24,15.1,51.6,54.8,42.9,0.8,2.2,1.8,84.1,18.9,6565,20.6,66.1,21346,36203,24.1,703.63,114.1,113.3251851
Lawrence ,MS,12502,12929,24,16.2,51,67,31.4,0.3,1.9,0.2,82.3,12.9,1067,35.8,80,20655,38393,18.8,430.67,30,29.02918708
Leake ,MS,23193,23805,28,14.4,47.9,50,41.9,0.3,4.2,2.5,74.9,10.7,1334,32.4,75.5,16780,32521,27.7,583,40.8,39.78216123
Lee ,MS,85246,82910,25.8,14.3,52.2,69,28.7,0.8,2.5,2,82.9,21.8,5227,18.8,70.9,21799,42074,18.3,449.95,184.3,189.4566063
Leflore ,MS,31422,32317,27,12.6,51.9,25.5,72.7,0.7,2.5,3.1,73.2,19,1052,16,50.7,14307,24480,40.4,592.54,54.5,53.02933135
Lincoln ,MS,34775,34869,24.7,15.6,52.2,67.7,31,0.4,1.1,0.8,82.8,16.8,2037,28,74,19566,36498,23.5,586.12,59.5,59.33085375
Lowndes ,MS,59730,59779,24.1,14.4,52.4,53.9,44,0.7,1.9,1.9,82,21.4,5251,21,62.1,20951,37868,25.4,505.51,118.3,118.1578999
Madison ,MS,101688,95203,25.6,12.3,52.1,58.1,38.3,2.4,2.8,4,89.2,45.8,5516,23,70.3,33170,59904,12.7,714.51,133.2,142.318512
Marion ,MS,25868,27088,24.2,16.6,51.7,66,32.4,0.3,1.4,0.3,74.3,13.2,1646,33.1,74.7,18126,29400,28.2,542.38,49.9,47.69349902
Marshall ,MS,36234,37144,22.1,15,50.6,50.9,47.6,0.3,3.3,1.5,73.9,11.2,2207,30.9,79.5,17978,36022,22.2,706.19,52.6,51.30913777
Monroe ,MS,36003,36989,23,17.6,52,67.8,30.8,0.2,1.1,0.3,76.7,13.1,2385,23.3,77.3,18167,36308,21.6,765.09,48.3,47.05720896
Montgomery ,MS,10400,10925,22.9,19,52.2,53.2,45.5,0.3,1.2,0.1,72.7,13.1,767,20.3,74.5,15523,30466,31.1,406.98,26.8,25.55408128
Neshoba ,MS,29465,29676,28.1,14.7,52.2,60.4,21.2,0.4,2,1.1,77.2,12.6,1721,24.4,73.2,18693,37050,24.1,570.14,52.1,51.68028905
Newton ,MS,21832,21720,25.4,16.2,52,63.4,30.3,0.4,1.7,1,83.3,14.7,1839,26.4,77.6,18864,39190,18.6,578.1,37.6,37.76509254
Noxubee ,MS,11115,11545,25.3,15.7,51.9,26.9,71.7,0.3,1.1,1.2,65.5,11.2,379,26.8,71.8,12780,24338,34.6,695.14,16.6,15.98958483
Oktibbeha ,MS,49414,47671,18,10.3,50.4,58.2,37.2,3.2,1.7,3.7,86.4,42.6,2216,18.9,51.7,20202,30987,33.7,458.2,104,107.8437364
Panola ,MS,34444,34707,25.9,14.2,51.7,48.7,49.7,0.2,1.8,0.2,75.8,14.3,1901,25.8,76.3,18073,35715,25.3,685.14,50.7,50.27293692
Pearl River ,MS,55224,55834,23.3,17.2,50.5,84.4,12.8,0.5,3,1.7,83.2,13.2,4982,33.4,77.6,20549,42510,22.2,810.86,68.9,68.10546827
Perry ,MS,12227,12250,23.6,17.2,51.4,77.9,20.2,0.2,1.3,0.3,80,8.2,917,31.2,84.9,17183,36124,21,647.25,18.9,18.89069139
Pike ,MS,40058,40404,26.6,15.6,52.6,45.7,52.5,0.6,1.3,1.2,78.2,15.8,2235,23.4,70.1,18183,34841,27.5,409.02,98.8,97.93653122
Pontotoc ,MS,30950,29957,26.6,13.9,50.4,82.2,15.6,0.3,6.3,2.5,76.4,12,1528,24.1,78.2,18576,39899,14,497.69,60.2,62.18730535
Prentiss ,MS,25428,25276,22.9,17,50.8,84.2,14.2,0.2,1.3,0.2,72.7,11.4,1133,23.6,72.8,16589,32503,24.2,414.98,60.9,61.27524218
Quitman ,MS,7678,8223,24.9,15,52.1,29,69.1,0.3,1,1,68,13.7,483,22.5,68.6,13954,22863,40.7,405.01,20.3,18.9575566
Rankin ,MS,148070,141617,24.3,13.3,51.7,77.2,20.2,1.2,2.6,2.4,88.9,28.5,9765,25.1,75.5,26897,57380,11.5,775.49,182.6,190.9373428
Scott ,MS,28461,28264,26.6,13.7,51.2,59,38.1,0.5,10.7,7.1,72.3,9.6,1264,23.8,75.7,16789,34534,24.7,609.19,46.4,46.7194143
Sharkey ,MS,4647,4916,25.4,16.1,53.8,29.2,69.6,0.3,1.7,0.2,77.3,21.1,294,18.2,64.4,15744,35125,31.2,431.72,11.4,10.76392106
Simpson ,MS,27463,27503,25.3,15.6,51.3,62.6,35.7,0.4,1.6,1.5,78.3,14.7,1709,34.2,76,18314,38362,22.6,589.16,46.7,46.61382307
Smith ,MS,16188,16491,24.4,17.2,51.9,75.5,23.6,0.1,1.5,0.6,80.8,13.2,948,28,83.3,20334,34753,23.6,636.25,25.9,25.44282908
Stone ,MS,17875,17786,22.4,14.3,50.1,78.2,19.8,0.3,1.7,0.9,84.5,13.6,1520,33.5,82.6,18576,42963,18,445.49,39.9,40.12435745
Sunflower ,MS,27496,29450,23.3,11.6,47.2,25.8,73,0.4,1.5,0.7,70.2,13,1321,18,58.6,12588,26619,36.1,697.75,42.2,39.40666428
Tallahatchie ,MS,14761,15378,20.4,13.5,44.3,41.3,56.4,0.9,6.2,4.9,65.7,8.5,640,24.5,73,12747,29853,30.2,645.29,23.8,22.87498644
Tate ,MS,28204,28886,24.2,15,51.7,66.7,31.3,0.3,2.5,1.5,79.9,15.4,1585,29.5,74.5,20431,41494,18.5,404.76,71.4,69.6807985
Tippah ,MS,22039,22232,24.6,15.8,50.8,81.3,16.7,0.2,4.8,1.6,75.8,10.3,1274,22.8,76.5,18493,34636,25.5,457.82,48.6,48.1390066
Tishomingo ,MS,19420,19593,22,19.6,51.8,95.7,2.8,0.2,2.6,2,76.8,11.3,1546,22.9,75.9,18338,32592,17.6,424.25,46.2,45.77489688
Tunica ,MS,10598,10778,30.3,10.2,52.9,22.2,75.6,0.9,2.4,3.8,76.8,15.4,522,18.3,43.6,15549,31446,30.3,454.67,23.7,23.30921328
Union ,MS,28097,27134,25.2,15.7,51.2,82.8,15.1,0.3,4.6,3.2,76.1,14.8,1681,23.6,72.8,19273,38373,23.5,415.6,65.3,67.60587103
Walthall ,MS,14859,15443,24.6,17.7,51.9,54.2,43.8,0.2,1.8,0.6,74.8,12.6,701,34.2,82.5,16850,31090,25.3,403.94,38.2,36.78516611
Warren ,MS,47983,48773,24.8,14.6,52.4,49.6,48.2,0.9,2,1.6,83.4,24.7,2786,18.3,64.9,22362,41025,24.4,588.5,82.9,81.53440952
Washington ,MS,48958,51137,26.5,13.6,53.2,27,71.4,0.7,1.3,1.3,75.5,18.7,2820,17.7,54.8,16671,28093,37.3,724.74,70.6,67.55250159
Wayne ,MS,20490,20747,24.8,15.7,51.9,59.2,39.4,0.2,1.5,0.2,72.7,10.2,1178,30.6,83.3,18928,29925,28.4,810.75,25.6,25.27289547
Webster ,MS,9972,10253,24.2,16.6,51,78.7,19.7,0.3,1.3,0.7,81.3,19,531,30.8,73.6,18728,33524,24.9,420.94,24.4,23.68983703
Wilkinson ,MS,9191,9878,21.7,15.5,46.6,28.9,70.2,0.2,0.7,0,71.9,11.8,386,35.4,77.5,18717,33618,27.8,678.11,14.6,13.5538482
Winston ,MS,18478,19198,23.6,17.4,51,51.5,46.3,0.3,1.2,0.5,79.5,15.8,1102,27.6,71.3,18501,30821,29.8,607.25,31.6,30.42898312
Yalobusha ,MS,12276,12678,22.7,18.3,51.8,59.8,38.5,0.3,1.7,0.2,77.5,13.2,929,23.2,74.6,18750,32930,22.2,467.13,27.1,26.27962237
Yazoo ,MS,27817,28065,24.2,12.4,44.6,40.8,57.4,0.6,5.6,4.3,74.1,11.9,1658,26.6,60,14291,26336,35.5,922.95,30.4,30.13922748
Beaverhead ,MT,9345,9246,18,19.8,48.9,95.1,0.4,0.5,3.7,1.4,93.1,27.2,979,14,64.1,22872,41614,15.1,5541.62,1.7,1.68632999
Big Horn ,MT,13282,12865,33.5,11.4,50.8,31.9,0.4,0.5,5.6,1.2,84.5,15.5,630,18.6,67.4,15695,39966,25.5,4995.46,2.6,2.658814203
Blaine ,MT,6619,6491,30.2,14.2,50.6,48.2,0.2,0.2,2.3,0.8,87.4,15.9,527,14.6,65.4,17437,37151,28.8,4227.55,1.5,1.565682251
Broadwater ,MT,5667,5612,20.6,20.9,49.3,96.2,0.5,0.2,2.5,1.2,89.4,19.4,708,25.3,80.7,24270,45932,10.5,1192.54,4.7,4.75204186
Carbon ,MT,10399,10078,18.3,22.3,49.8,96.7,0.5,0.3,2.3,1.9,92.8,27.6,1179,27.1,76.7,27599,47831,11.1,2048.79,4.9,5.075678815
Carter ,MT,1169,1160,16.7,25.2,50,98,0.1,0.1,1.2,0.2,92.8,16.4,75,13,80.4,24921,39659,13.7,3340.75,0.3,0.349921425
Cascade ,MT,82344,81327,22.6,16.9,49.6,88.9,1.7,1,4.1,2.3,90.8,24.6,10265,15.8,65.6,24727,44963,14.9,2698.16,30.1,30.51857562
Chouteau ,MT,5894,5813,24.5,18.1,50.6,77,0.2,0.5,2.2,1.6,91.1,22.9,574,17.5,62.3,21737,40070,21.7,3972.49,1.5,1.483704175
Custer ,MT,12092,11699,22.1,18.7,50,95,0.6,0.4,3,2.1,90.9,19.7,1178,14.2,68.9,23910,43524,13.3,3783.36,3.1,3.19610082
Daniels ,MT,1793,1751,21,25.2,49.7,95.3,0.3,0.3,2,2.4,94.4,22.9,178,9.8,75.2,31449,46100,10.1,1426.11,1.2,1.25726627
Dawson ,MT,9518,8966,22.3,16.8,48.6,94.9,0.5,0.4,2.7,1,89.3,18.1,825,18.3,70.3,26126,50405,16,2371.87,3.8,4.012867484
Deer Lodge ,MT,9150,9298,16.2,20.7,46.6,93,0.4,0.5,3.1,1.6,89.1,18.1,1227,20.2,72.7,22052,38958,20.5,736.53,12.6,12.42311922
Fallon ,MT,3108,2890,25.9,15.7,48.7,97.1,0.2,0.6,1.7,0.9,92.7,16.1,220,12,72,28563,51164,5.9,1620.77,1.8,1.917607063
Fergus ,MT,11442,11586,20.4,23,49.7,95.9,0.5,0.3,2.4,1.4,92.3,25.5,1233,14.3,74.4,24429,38344,13.8,4339.8,2.7,2.636527029
Flathead ,MT,94924,90928,22.5,17.2,50.2,95.2,0.4,0.7,2.7,2,93.8,28.4,8688,18.6,71,25790,46581,14.2,5087.66,17.9,18.65769332
Gallatin ,MT,97308,89513,20.5,11.2,48.6,95.1,0.4,1.4,3.1,2.7,96.1,46,5744,16.8,61.8,28939,52833,14.1,2602.69,34.4,37.38747219
Garfield ,MT,1309,1206,22.9,22.6,50.1,98.7,0.3,0.1,1.2,0.2,91.7,13,97,10.6,76.3,25921,45096,10.5,4675.36,0.3,0.27997844
Glacier ,MT,13696,13399,31.3,10.9,51.1,33.6,0.2,0.4,2.7,2.1,83.5,18.4,934,12.4,59.5,15604,33519,33.7,2995.94,4.5,4.571520124
Golden Valley ,MT,852,884,20.2,24.5,48.7,94.5,0.7,0.7,4.1,0.3,88.6,20.3,70,27,79.3,23508,39313,20.7,1175.34,0.8,0.724896626
Granite ,MT,3209,3079,16.2,28.9,49.5,96.5,0.4,0.3,2.1,1.9,88.2,26.5,402,23.8,76.1,26277,45236,15.1,1727.42,1.8,1.857683713
Hill ,MT,16596,16096,27,14.1,49.6,72.7,0.6,0.6,3.3,1.6,91.6,22.6,1353,14.5,67.8,21376,43726,18.9,2898.96,5.6,5.724811657
Jefferson ,MT,11558,11406,21,18.7,49,94.8,0.4,0.5,2.3,1.5,94.3,33.5,1397,21.1,85.9,30397,60863,7.8,1656.26,6.9,6.978372961
Judith Basin ,MT,1991,2072,18.8,22.5,47.9,97.9,0.1,0.3,1.7,0.8,93.4,29.7,242,19,75.4,24260,41932,12.4,1869.82,1.1,1.064808377
Lake ,MT,29099,28746,24.2,19.7,50.8,68.2,0.4,0.5,4.1,1.8,90.2,24.8,2885,21,69.1,21521,38019,22.4,1490.15,19.3,19.52756434
Lewis and Clark ,MT,65856,63395,21.8,16.2,50.8,94.1,0.5,0.7,3,1.5,94.7,37.5,6310,17.6,72.3,28400,56243,10.4,3458.83,18.3,19.03996438
Liberty ,MT,2359,2339,21.2,19.8,52.4,98.1,0.3,0.1,0.7,4,75.5,20.6,143,16.9,62.2,25522,44493,21,1430.05,1.6,1.649592672
Lincoln ,MT,19125,19687,18.4,24.8,49.5,95.7,0.4,0.4,2.8,2.3,86.8,18.3,2506,18.2,78.4,21719,33333,17.9,3612.92,5.4,5.293502209
McCone ,MT,1694,1734,19.9,22.5,49,97,0.6,0.2,1.4,0.1,94.4,18.6,181,14.2,77.2,27161,46667,7.4,2643.17,0.7,0.640897105
Madison ,MT,7820,7691,15.7,26.3,47.5,96.8,0.5,0.4,2.9,2.3,94.8,32.7,798,21.7,76.1,33062,47762,8.7,3587.48,2.1,2.179803093
Meagher ,MT,1853,1891,18.7,26.2,49.1,96.9,0.3,0.5,1.8,1.5,89.8,17.4,220,16.3,71.9,20288,38182,13.6,2391.91,0.8,0.7746947
